name,rating,review,review_mark
Объект 784,4.9,"Хороший отель с оригинальным дизайном и оформлением. Останавливались семьей по пути в двухуровневом номере, дочке наверху понравилось :-) Номер красиво оформлен, есть посуда и техника, все работает. Есть кафе со вкусной и недорогой едой (по отзывам жены и дочки). Если нужно в Казань - такси ходят, до Казани 30-40 минут. Есть некоторые издержки оригинальности: выход с коридора этажа на лестницу со ступенькой прямо за дверью не вполне безопасен.",5
Объект 784,4.9,"маленькая кровать - ширина 140 наверное - изначально давали одно маленькое одеяло - вдвоем не поместиться -еле выпросили второе. Старый телевизор. Не подключить телефон, нет ютуб и т д. Напротив отеля стоянка грузовиков дальнобойщиков. Маленькое окно.",3
Объект 784,4.9,"В целом нормально, но есть нюансы. В номере было очень холодно, батареи грели слабо, чуть теплые.",3
Объект 784,4.9,"Всё просто супер 👍 очень чисто,персонал вежливый,в кафе всё вкусно. Отель оставил положительные эмоции. Всем рекомендую. Теперь только в этот отель. Спасибо.",5
Объект 784,4.9,"В номере чисто и тихо, несмотря на близость к трассе. Дизайн классный",5
Объект 784,4.9,Супер,5
Объект 784,4.9,Отличное место. Стоянка по разумнои цене. Охрана хорошая.,5
Объект 784,4.9,Понравилось,5
Объект 784,4.9,Все холлдное,3
Объект 784,4.9,"Кухня хорошо, да и целом всё хорошо",5
Объект 784,4.9,"Парковка нормальная, но занята даже днем в выходной день. Есть банкомат, (Сбер). Туалет шикарный.В душ не ходил.Кафе нормальное, все вкусно.",4
Объект 784,4.9,"Хорошая стоянка. Кухня туалет, душ, стирка. Всё на хорошем уровне.",5
Объект 784,4.9,Все прекрасно,5
Объект 784,4.9,Только 5+. Спасибо за уют и чистоту!!! Ну и конечно за отличную кухню!!!,5
Объект 784,4.9,Очень вкусно готовят,5
Объект 784,4.9,Неплохое место. Чисто.,3
Объект 784,4.9,Хорошее заведение вкусно и не дорого,5
Объект 784,4.9,"Дороговато,но зато все есть",5
Объект 784,4.9,"Снимали номер. Очень понравилось, чисто, уютно, тепло. Персонал вежливый. В кафе большой выбор блюд. Цены демократичные. Охраняемая парковка. Советую.",5
Объект 784,4.9,"Одна из лучших гостиниц и кафе, довольны на все 110%",5
Объект 784,4.9,По кухне относительно не дорого и вкусно.,5
Объект 784,4.9,Очень понравилось. Хорошие номера. Чисто.,5
Объект 784,4.9,"Хорошая асфальтированная парковка,хорошая кафешка,ценник вполне адекватный и еда выглядит хорошо и на вкус отлично.",4
Объект 784,4.9,"Кухня хромает , был два раза ничего не изменилось",3
Объект 784,4.9,"Хорошая столовка с большим выбором. Чисто самое главное, по еде тоже норм",5
Объект 784,4.9,Вкусно кормят! Приятный персонал!,4
Объект 784,4.9,"Прекрасная, обстановка, современный артобъект. Вкусная кухня. Приятно, уютно, чисто. Отличное место чтобы перевести дух и переключиться с дороги. Отлично!",5
Объект 784,4.9,"Нет минусов! Еда: соотношение цены и качества-5. Чистота-5. Кухня- 5. Обслуживание:- есть от кого и чего научиться, - 5. Парковка, душ, прачечная:- 5 с большим ""+"". В гостинице не был, в кабине уютно, неверное тоже уютно, чито и приятно! А кто говорит что-то не так, они не были где еда трёхдневная и тд тп!!!",5
Объект 784,4.9,Все норм,5
Объект 784,4.9,Еда нормальная только дорого,5
Объект 784,4.9,"Банкомат, туалет, душ",5
Объект 784,4.9,"Хороший отель, но дорогой. Стоимость проживания в 3-х местном номере 5300 руб. за ночь, в который не входит завтрак. Очень интересный интерьер не только в холле, но и на этаже, расположения номеров и в самом номере, но это всего лишь место для ночлега, а в номере скрипит панцирной сетке, на которой лежит матрас.",4
Объект 784,4.9,Хороша стоянка,3
Объект 784,4.9,Шашлык огонь 🔥🔥,5
Объект 784,4.9,Стоянка душ250р этих денег Не стоит три лейки ОБЩИЙ предбанник,3
Объект 784,4.9,"Топовая концепция и визуализация при отменной чистоте и средней цене. Офигенно. Если есть выбор - остановитесь тут, будете в восторге.",5
Объект 784,4.9,"Хорошая чистая асфальтированная парковка,вкусная кухня",5
Объект 784,4.9,"Не работают по дорожной сети (касается дальнобойщиков. В остальном же,просто красота. Книги,арт оформление, чистота",5
Объект 784,4.9,Кухня так себе,3
Объект 784,4.9,Все супер единственный минус это мухи в номерах,5
Объект 784,4.9,"Дорогая, гостиница, но хорошо сделано. Хорошие матрасы, высыпаешься.",5
Объект 784,4.9,"Очень понравилась гостиница! И номер отличный! И вообще, всё очень здорово! Оформление от ресепшена до номера - просто я нигде такого не видела! Видно, что поработал дизайнер! Много всего! Не знаешь что и разглядывать! Всё интересно! Отдельный разговор про кафе. Вкусно и недорого! Молодцы все !",5
Объект 784,4.9,Хорошая библиотека. Остальное так себе.,3
Объект 784,4.9,"Асфальт. Туалет чистый, хороший, бесплатный. Кухня тоже пойдёт. Стоянка по МТС.",5
Объект 784,4.9,Кафе супер! Вкусно не дорого! Чисто и уютно! Стоянка асфальтированная и чистая! Персонал вежливый! Отличное место для отдыха и перекуса в дороге! Вечером подсветка детям понравится точно! Всем советую!,5
Объект 784,4.9,Не плохо. Ещё бы раздельный душ был бы...,5
Объект 784,4.9,Могло быть и лучше,1
Объект 784,4.9,"Вкусно, рекомендую",5
Объект 784,4.9,"Можно заехать покушать по пути ,доступно и вкус",5
Объект 784,4.9,"Просто как стоянка мтс,машин много",4
Объект 784,4.9,Не дорого и вкусно,5
Объект 784,4.9,Вкусно не дорого,4
Объект 784,4.9,Два раза обедал в кафе еда вкусная но всегда Холодная,4
Объект 784,4.9,"Бешеные цены 🤣🤦‍♀️🤷‍♀️ А так чистенько, опрятно, вежливо 👌",5
Объект 784,4.9,Все просто супер 👍,5
Объект 784,4.9,Вкусно. Но заезд не очень удобный,5
Объект 784,4.9,"Вкусная еда понравилось обслуживание, но туалет грязный весь в соплях и козявках.",5
Объект 784,4.9,"Подойдёт для бюджетных путешественников. Обслуживание низкое, туалет платный, цены невысокие. Еда среднего качества",2
Объект 784,4.9,Вкусно и быстро обслужили,5
Объект 784,4.9,"Отель расположен рядом с шоссе, но выехать в нужную сторону не всегда удобно. Пока это можно сделать проезжая через территорию нескольких РЦ.",5
Объект 784,4.9,Дорого и порции маленькие. Долгое обслуживание. Не советую.,1
Объект 784,4.9,Замечательное место. Отличная кухня.,5
Объект 784,4.9,"Столовая хорошая, туалет чистый. В душе не был. Стоянка для фур большая",5
Объект 784,4.9,"Обед на одного человека дороговато 700 руб ,рис ужасный, мясо боле менее,в аля солянке одни сосиски плавают невкусные,не стоит своих денег совсем,очень не понравилось.",2
Объект 784,4.9,"Есть всё, даже местный чак чак, порции большие, очень много в зале микроволновок",5
Объект 784,4.9,Кафешка класс. Цены приятно удивили.,5
Объект 784,4.9,Очень здорово и дорого!,5
Объект 784,4.9,"Чистая стоянка. Бесплатный туалет. Душ дорогой, внутри общая раздевалка и душевые кабинки.",5
Объект 784,4.9,"Вкусно, быстро, даже банкомат есть",5
Объект 784,4.9,Совершенно случайно заехали сюда. Отель очень понравился. Чистота идеальная. Заселили быстро. Утром в кафе был отличный завтрак. Нам очень понравилось все. Всем искренне рекомендую. Владельцам отеля и персоналу отдельное спасибо!!!,5
Объект 784,4.9,"Еда особо удовольствия не вызывает и цены завышены. Но если кушать негде, то место выручит.",3
Объект 784,4.9,Прекрасная кухня вкусно средний ценик,4
Объект 784,4.9,"Цены как в центре Москвы, а не на стоянке.",1
